CaseID,CaseNumber,CaseTypeId,CaseType,CaseWorkclassId,CaseWorkclass,CaseStatusId,CaseStatus,DateApplied,Address,Description
C897DA0E-6045-4BFE-9BC5-0DF9C9099A58,2014-1001,7758f340-b10a-7a6c-7733-373c22d113e6,Fire Alarm Permit - Legacy,a17ae9f5-e00b-dfe7-5a84-fdb9d415c82b,Legacy,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2014-07-13T11:16:00Z,123 Permit St Leander TX 00000,New construction of a 6000 square foot dine-in restaurant.
9C8CA9A9-D12A-4800-8C2B-DCE1ECC7761F,2014-1002,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2014-07-15T20:48:00Z,1109 COTTON PATCH LEANDER TX 78641,NEW RESIDENTIAL CONSTRUCTION
7B282DC1-2C00-4F96-9041-D12BA30CA6CD,2014-1003,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2014-07-15T21:13:00Z,401 JOE BATES LEANDER TX 78641,NEW RESIDENTIAL CONSTRUCTION
C08DBBC9-956B-4A54-8142-6FD8334F7640,2014-1004,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2014-07-17T15:08:00Z,2505 LEONARDS PASS LEANDER TX 78641,NEW HOME
187C0BF7-732A-4B33-AC4A-51601920BA40,2014-1005,24e41058-5bd6-df47-0e0b-c4f38a4ceb5d,Pool  - Residential Pool/Spa,78bc4aac-c830-60b4-b853-a01c6e906654,Residential Pool/Spa,441859bc-e46e-4b63-824b-976ed8395355,Fees Due,2014-07-21T19:01:00Z,2016 Foothills Drive Leander TX 78641,Swimming pool construction
CE9A070A-876C-4AD8-8F18-D82DFFF68ED0,2014-1006,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2014-07-22T15:06:00Z,621 JESS MAYNARD LEANDER TX 78641,NEW HOME
16924AF7-7A04-4CAC-9776-0D27C9EED798,2014-1007,a5f44bf3-4fba-4b55-9e72-b0dc246f6a14,Sign Permit,b57e5881-7e9e-4b7c-bda5-7ac227627c99,Sign,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2014-07-25T18:59:00Z,305 JOE BATES LEANDER TX 78641,
63CC1F73-3604-45B7-8CBA-BD36C7B0998E,2014-1008,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2014-07-29T15:12:00Z,408 ALSATIAN LEANDER TX 78641,NEW HOME
109C645B-21E2-41C2-95FB-D62BA8A42A2F,2014-1009,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2014-07-29T17:18:00Z,421 ALSATIAN LEANDER TX 78641,NEW HOME
4B3234C1-32AB-403E-9F33-D79E2D8C67E2,2014-1010,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2014-07-29T17:19:00Z,413 ALSATIAN LEANDER TX 78641,NEW HOME
